Product Name,Brand,Item Number,Mfr #,Category Hierarchy,Product URL,Qty,Price,Unit,Availability,Description,Attributes,Image URLs,Alternative Product URL,Alternative Item Number
Aurelia Amazing gloves x-small 300/box,Supermax,4871102,92885,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aurelia Amazing,https://www.safcodental.com/product/aurelia-reg-amazing-reg,1,20.99,300/box,In stock,Powder-free nitrile exam gloves. Thinner and more flexible than standard nitrile. Textured fingertip finish Beaded cuff Chlorinated Ambidextrous Purple color Thickness: at palm 2.0 mils; at fingertips 3.0 mils 300 gloves per box (270 for x-large) Order 10 boxes to purchase a case,"X-small, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbm.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aurelia Amazing gloves small 300/box,Supermax,4871105,92886,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aurelia Amazing,https://www.safcodental.com/product/aurelia-reg-amazing-reg,1,20.99,300/box,In stock,Powder-free nitrile exam gloves. Thinner and more flexible than standard nitrile. Textured fingertip finish Beaded cuff Chlorinated Ambidextrous Purple color Thickness: at palm 2.0 mils; at fingertips 3.0 mils 300 gloves per box (270 for x-large) Order 10 boxes to purchase a case,"Small, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbm.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aurelia Amazing gloves medium 300/box,Supermax,4871108,92887,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aurelia Amazing,https://www.safcodental.com/product/aurelia-reg-amazing-reg,1,20.99,300/box,In stock,Powder-free nitrile exam gloves. Thinner and more flexible than standard nitrile. Textured fingertip finish Beaded cuff Chlorinated Ambidextrous Purple color Thickness: at palm 2.0 mils; at fingertips 3.0 mils 300 gloves per box (270 for x-large) Order 10 boxes to purchase a case,"Medium, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbm.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aurelia Amazing gloves large 300/box,Supermax,4871111,92888,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aurelia Amazing,https://www.safcodental.com/product/aurelia-reg-amazing-reg,1,20.99,300/box,In stock,Powder-free nitrile exam gloves. Thinner and more flexible than standard nitrile. Textured fingertip finish Beaded cuff Chlorinated Ambidextrous Purple color Thickness: at palm 2.0 mils; at fingertips 3.0 mils 300 gloves per box (270 for x-large) Order 10 boxes to purchase a case,"Large, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbm.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aurelia Amazing gloves x-large 270/box,Supermax,4871114,92889,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aurelia Amazing,https://www.safcodental.com/product/aurelia-reg-amazing-reg,1,20.99,270/box,In stock,Powder-free nitrile exam gloves. Thinner and more flexible than standard nitrile. Textured fingertip finish Beaded cuff Chlorinated Ambidextrous Purple color Thickness: at palm 2.0 mils; at fingertips 3.0 mils 300 gloves per box (270 for x-large) Order 10 boxes to purchase a case,"X-large, 270/box","https://www.safcodental.com/media/catalog/product/d/r/drcbm.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aqua Source gloves x-small 200/box,Cranberry,4711902,CR3445,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aqua Source,https://www.safcodental.com/product/aqua-source-reg,1,19.99,200/box,In stock,Powder-free nitrile exam gloves.,"X-small, 200/box","https://www.safcodental.com/media/catalog/product/d/r/drcbl_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aqua Source gloves small 200/box,Cranberry,4711905,CR3446,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aqua Source,https://www.safcodental.com/product/aqua-source-reg,1,19.99,200/box,Backorder,Powder-free nitrile exam gloves.,"Small, 200/box","https://www.safcodental.com/media/catalog/product/d/r/drcbl_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aqua Source gloves medium 200/box,Cranberry,4711908,CR3447,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aqua Source,https://www.safcodental.com/product/aqua-source-reg,1,19.99,200/box,In stock,Powder-free nitrile exam gloves.,"Medium, 200/box","https://www.safcodental.com/media/catalog/product/d/r/drcbl_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aqua Source gloves large 200/box,Cranberry,4711911,CR3448,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aqua Source,https://www.safcodental.com/product/aqua-source-reg,1,19.99,200/box,Backorder,Powder-free nitrile exam gloves.,"Large, 200/box","https://www.safcodental.com/media/catalog/product/d/r/drcbl_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aqua Source gloves x-large 200/box,Cranberry,4711912,CR3449,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aqua Source,https://www.safcodental.com/product/aqua-source-reg,1,19.99,200/box,In stock,Powder-free nitrile exam gloves.,"X-large, 200/box","https://www.safcodental.com/media/catalog/product/d/r/drcbl_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
