Category URL,Product URL,Page Number,Page Type,Classification Reason,Status,Error Stage,Error Type,Error Message,HTTP Status,Fallback Used,Records Written
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/sigma-reg,5,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-reg-refresh-reg,5,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-diamond-grip-plus-trade,5,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/silkcare-reg,5,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/nuvo-trade,5,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/nitriderm-sup-reg-sup-nbsp-nitrile-surgical-gloves,5,multi_group_item_page,masterData found with grouped item rows,success,,,,,no,7
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/dermassist-sup-reg-sup-latex-surgical-gloves,5,item_table_page,masterData found,success,,,,,no,8
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/encore-reg-sensi-touch-reg-pf,5,item_table_page,masterData found,success,,,,,no,12
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-sup-reg-sup-neosoft-trade,5,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/flexaprene-green,5,unsupported_layout,No item-level masterData found,partial_fallback,item_extraction,no_master_data,No item-level masterData found; wrote fallback record.,,yes,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/micro-touch-sup-reg-sup-affinity-sup-reg-sup,5,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-sup-reg-sup-neopro-sup-reg-sup,5,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/powerform-black,6,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/micro-touch-reg-nitrafree-trade-blue,6,item_table_page,masterData found,success,,,,,no,2
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-92-134,6,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/pulse-reg-logic-trade,6,unsupported_layout,No item-level masterData found,partial_fallback,item_extraction,no_master_data,No item-level masterData found; wrote fallback record.,,yes,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-midknight-reg,6,item_table_page,masterData found,success,,,,,no,2
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/pulse-nitrile,6,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/halo-trade,6,item_table_page,masterData found,success,,,,,no,2
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/alasta-sup-reg-sup-white,6,unsupported_layout,No item-level masterData found,partial_fallback,item_extraction,no_master_data,No item-level masterData found; wrote fallback record.,,yes,1
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/hu-friedy-nitrile-utility-gloves,6,item_table_page,masterData found,success,,,,,no,12
